Subject,Total,  Less than 9th grade,  9th to 12th grade no diploma,  High school graduate (includes equivalency),  Some college no degree,  Associate degree,  Bachelors degree,  Graduate or professional degree
1901,120,0.2,0.1,0.27,0.2,0.02,0.12,0.09
1902,1214,0.15,0.09,0.31,0.2,0.07,0.12,0.06
1904,142,0.04,0.04,0.34,0.2,0.09,0.2,0.1
1905,560,0.14,0.08,0.35,0.2,0.08,0.12,0.03
1906,44,0.04,0.06,0.36,0.21,0.09,0.17,0.08
1907,9,0.02,0.03,0.17,0.15,0.07,0.28,0.27
1915,25,0.02,0.04,0.23,0.17,0.08,0.28,0.18
1923,22,0.02,0.04,0.24,0.18,0.12,0.27,0.14
1945,13,0.01,0.01,0.11,0.13,0.05,0.36,0.33
1960,45,0.04,0.05,0.34,0.18,0.09,0.19,0.1
1970,94,0.05,0.05,0.26,0.19,0.08,0.24,0.14
2129,4,0.05,0.04,0.16,0.1,0.03,0.33,0.29
2149,9,0.11,0.1,0.38,0.19,0.06,0.12,0.05
2150,13,0.22,0.12,0.33,0.12,0.05,0.1,0.07
2151,40,0.1,0.08,0.39,0.18,0.06,0.13,0.06
