Subject,Civilian employed population 16 years and over,Management business science and arts occupations,Service occupations,Sales and office occupations,Natural resources construction and maintenance occupations,Production transportation and material moving occupations
1901,537,0.19,0.41,0.26,0.04,0.11
1902,21442,0.22,0.32,0.21,0.1,0.16
1904,9963,0.38,0.2,0.26,0.06,0.1
1905,11988,0.21,0.3,0.24,0.11,0.14
1906,14732,0.35,0.17,0.29,0.1,0.1
1907,7463,0.53,0.16,0.22,0.05,0.06
1915,21750,0.47,0.17,0.22,0.06,0.08
1923,14038,0.44,0.15,0.27,0.06,0.07
1945,10108,0.61,0.09,0.23,0.04,0.03
1960,26792,0.35,0.2,0.28,0.08,0.1
1970,22539,0.42,0.23,0.23,0.06,0.07
2129,10422,0.61,0.12,0.22,0.03,0.04
2149,23036,0.2,0.32,0.23,0.1,0.15
2150,18626,0.19,0.32,0.22,0.09,0.2
2151,27685,0.25,0.27,0.25,0.09,0.14
